university,city,state,international_students_natlib,international_students_opendoors,international_students_qs,total_score_arwu,world_rank_cat_arwu,world_rank_arwu,national_rank_arwu,n_s_arwu,hi_ci_arwu,alumni_arwu,award_arwu,pub_arwu,pcp_arwu,national_rank_kaggle,tuition_kaggle,enrollment_kaggle,type3_natlib,size_qs,type1_qs,score_qs,world_rank_qs,research_output_qs,faculty_count_qs,stu_facl_ratio_qs,selectivity,type1_top120enrollment,type2_top120enrollment,enrollment_top120enrollment,basic2021_carnegie,sizeset2021_carnegie,control_carnegie,enrprofile2021_carnegie,locale_carnegie
Drexel University,Philadelphia,PA,0.09,NA,2526,NA,301-400,301,96-117,9.7,19.2,0,0,31.4,21.8,105,57136,14552,National,L,4,NA,651-700,Very High,1837,11,NA,NA,NA,NA,15,16,2,5,11
Washington State University,Pullman,WA,NA,NA,1731,NA,301-400,301,96-117,8.5,9.6,0,0,33.1,18.2,186,27733,25470,NA,L,1,27,427,Very High,1935,14,NA,1,4-year,31159,15,16,1,4,32
University of Nebraska - Lincoln,Lincoln,NE,0.05,NA,2805,NA,201-300,201,70-95,12.3,19.2,16.8,0,37.4,21,NA,NA,NA,National,L,1,NA,571-580,Very High,1953,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
George Mason University,Fairfax,VA,0.05,NA,2737,NA,201-300,201,70-95,6.1,0,0,31.5,29.5,19.4,151,36579,27105,National,L,1,NA,801-1000,Very High,2011,15,NA,1,4-year,38541,15,15,1,4,21
George Washington University,Washington,DC,0.09,NA,4024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,59870,11762,National,L,4,31.1,355,Very High,2016,11,1,NA,NA,NA,15,17,2,5,11
University of Mississippi,Oxford,MS,NA,NA,628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,25876,16179,NA,L,1,NA,801-1000,Very High,2017,10,NA,NA,NA,NA,15,16,1,4,33
University of New Mexico,Albuquerque,NA,NA,NA,870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,24924,16124,NA,L,1,NA,651-700,Very High,2119,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Central Florida,Orlando,FL,NA,NA,2562,NA,301-400,301,96-117,10.5,9.6,0,0,33,18,159,22467,61456,NA,XL,1,NA,751-800,Very High,2146,25,4,1,4-year,71881,15,15,1,4,21
Oregon State University,Corvallis,OR,NA,NA,2769,NA,151-200,151,59-69,21.9,19.2,10.2,0,38.8,23.8,167,32288,26644,NA,L,1,NA,531-540,Very High,2147,12,NA,1,4-year,32312,15,15,1,4,13
University of South Carolina,Columbia,NA,NA,NA,1532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,33928,27270,NA,XL,1,NA,601-650,Very High,2169,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of South Florida,Tampa,FL,0.07,5974,5211,NA,201-300,201,70-95,9.5,16.6,0,0,39.2,18.2,115,17324,38579,National,XL,1,NA,581-590,Very High,2171,18,4,1,4-year,50626,15,15,1,4,11
Florida International University,Miami,FL,0.07,NA,3575,NA,401-500,401,118-139,6.6,9.6,0,0,32.1,17.3,163,18964,48664,National,XL,1,NA,801-1000,High,2221,16,NA,1,4-year,58836,15,15,1,4,21
Florida State University,Tallahassee,FL,NA,NA,1618,NA,201-300,201,70-95,15.3,13.5,0,0,39.3,20.2,55,21683,32543,NA,XL,1,25,475,Very High,2236,17,NA,1,4-year,43569,15,15,1,4,12
University of Kentucky,Lexington,KY,NA,NA,1294,NA,301-400,301,96-117,12.1,0,10.2,0,41.8,17.7,134,31608,22227,NA,L,1,NA,651-700,Very High,2239,12,NA,1,4-year,29986,15,16,1,4,11
Wake Forest University,Winston-Salem,NC,0.09,NA,805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,59770,5441,National,M,4,26.9,429,Very High,2276,4,1,NA,NA,NA,16,14,2,5,12
SUNY Stony Brook University,Stony Brook,NY,0.1,4834,6198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,28080,18010,National,L,1,29.4,378,Very High,2316,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
The University of Georgia,Athens,NA,NA,NA,1879,NA,201-300,201,70-95,17.6,13.5,0,0,44.8,18.3,NA,NA,NA,NA,XL,1,NA,541-550,Very High,2406,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of Missouri, Columbia",Columbia,MO,NA,NA,1273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,1,24.9,476,Very High,2600,10,NA,1,4-year,31089,NA,NA,NA,NA,NA
Wayne State University,Detroit,MI,NA,NA,1278,NA,401-500,401,118-139,5.4,9.6,0,0,36.6,15.3,261,32727,17513,NA,L,1,NA,511-520,Very High,2699,8,NA,NA,NA,NA,15,15,1,5,11
University of Cincinnati,Cincinnati,OH,0.05,NA,2800,NA,301-400,301,96-117,10.7,9.6,0,0,41,15.1,160,27472,28657,National,XL,1,NA,601-650,Very High,2756,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
Temple University,Philadelphia,PA,NA,NA,2097,NA,301-400,301,96-117,11,9.6,0,0,37.3,13.3,110,34801,27306,NA,XL,1,NA,751-800,Very High,2767,12,NA,1,4-year,37236,15,15,1,4,11
Virginia Commonwealth University,Richmond,VA,NA,NA,995,NA,201-300,201,70-95,5.7,16.6,10.2,13.9,36.9,15.5,178,35676,21943,NA,L,1,NA,701-750,Very High,2771,9,NA,1,4-year,29070,15,16,1,4,12
Virginia Polytechnic Institute and State University,Blacksburg,VA,NA,NA,4477,NA,201-300,201,70-95,12.2,9.6,11.4,0,43.9,18.5,NA,NA,NA,NA,XL,1,31.6,346,Very High,2802,12,3,1,4-year,37024,15,16,1,4,13
University of Iowa,Iowa City,IA,NA,NA,2049,NA,151-200,151,59-69,14.8,19.2,0,0,46.9,17.8,92,31569,22304,NA,L,1,25.7,455,Very High,2924,10,NA,1,4-year,30318,15,16,1,4,13
Colorado State University,Fort Collins,NA,NA,NA,1547,NA,201-300,201,70-95,16.9,9.6,0,0,38.9,19.5,148,31540,25186,NA,L,1,26.8,431,Very High,3115,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Utah,Salt Lake City,UT,0.06,NA,2134,NA,101-150,101,47-58,24.6,19.2,0,11.4,51.6,28.3,102,31389,24643,National,L,1,30.9,358,Very High,3345,8,NA,1,4-year,33081,15,16,1,5,12
University of Kansas,Lawrence,KS,NA,NA,2014,NA,201-300,201,70-95,11.2,13.5,17.6,0,41.9,16.3,125,28034,19135,NA,L,1,28.8,387,Very High,3357,7,NA,NA,NA,NA,15,16,1,5,13
University of Colorado Denver,Denver,CO,0.09,NA,1274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234,32820,14995,National,L,1,27.4,414,Very High,5319,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
City University of New York,New York City,NA,NA,NA,6462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,XL,1,NA,701-750,Very High,7782,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clark University,Worcester,MA,0.08,NA,853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,50302,2241,National,S,4,NA,601-650,Very High,276,12,3,NA,NA,NA,16,14,2,5,12
Clarkson University,Potsdam,NY,NA,NA,384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,54370,2905,NA,S,4,NA,751-800,Very High,291,14,NA,NA,NA,NA,16,14,2,4,33
Stevens Institute of Technology,Hoboken,NJ,NA,NA,1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,56920,3670,NA,M,4,NA,701-750,Very High,315,20,3,NA,NA,NA,16,13,2,5,21
Missouri University of Science and Technology,Rolla,MO,NA,NA,557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,31286,6086,NA,M,1,NA,511-520,Very High,369,18,4,NA,NA,NA,16,13,1,4,33
University of Tulsa,Tulsa,OK,0.07,NA,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,44838,2929,National,S,4,NA,801-1000,Very High,376,11,3,NA,NA,NA,16,14,2,4,11
Smith College,Northampton,MA,0.14,350,368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,S,4,NA,601-650,Very High,378,8,2,NA,NA,NA,21,11,2,4,21
Illinois Institute of Technology,Chicago,IL,0.15,NA,2330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,50640,3123,National,M,4,26.2,444,Very High,402,15,2,NA,NA,NA,16,14,2,5,11
Worcester Polytechnic Institute,Worcester,MA,0.06,NA,837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,55531,4892,National,M,4,NA,751-800,Very High,432,14,2,NA,NA,NA,16,13,2,4,12
Yeshiva University,New York,NY,0.09,NA,467,NA,301-400,301,96-117,23.6,0,0,0,32.2,22.6,74,47500,2017,National,S,4,38.4,252,Very High,471,10,NA,NA,NA,NA,17,14,2,5,11
University of Hartford,West Hartford,CT,0.06,NA,412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222,44885,4521,National,M,4,NA,801-1000,Medium,517,11,NA,NA,NA,NA,17,14,2,4,12
Indiana State University,Terre Haute,IN,NA,NA,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,20570,8939,NA,M,1,NA,1201,High,537,18,NA,NA,NA,NA,17,13,1,4,13
Lehigh University,Bethlehem,PA,0.08,NA,1152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,57470,5203,National,M,4,NA,531-540,Very High,540,11,1,NA,NA,NA,16,13,2,4,13
Colorado School of Mines,Golden,CO,NA,NA,627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,39800,5216,NA,M,1,25.4,461,Very High,544,11,3,NA,NA,NA,15,13,1,4,21
University of the Pacific,Stockton,CA,0.08,NA,389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,52352,3524,National,M,4,NA,1001-1200,High,560,10,4,NA,NA,NA,17,14,2,5,11
Michigan Technological University,Houghton,MI,NA,NA,694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,38112,5642,NA,M,1,NA,651-700,Very High,562,12,NA,NA,NA,NA,16,14,1,4,33
Seattle University,Seattle,WA,0.09,NA,702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,49335,4299,National,M,4,NA,801-1000,High,601,11,NA,NA,NA,NA,17,14,2,5,11
Brandeis University,Waltham,MA,0.2,NA,1554,NA,201-300,201,70-95,16.4,9.6,19,12,18.7,27.8,43,60391,3493,National,M,4,25.7,455,Very High,611,9,1,NA,NA,NA,15,14,2,5,13
New Jersey Institute of Technology,Newark,NJ,0.06,NA,2874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,33386,9084,National,M,1,NA,701-750,Very High,629,14,NA,NA,NA,NA,15,12,1,4,11
Rensselaer Polytechnic Institute,Troy,NY,0.15,NA,1594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,58526,6283,National,M,4,26.8,431,Very High,639,12,1,NA,NA,NA,15,14,2,4,13
University of San Diego,San Diego,CA,0.06,NA,638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,52864,5529,National,M,4,NA,1001-1200,High,647,12,3,NA,NA,NA,16,13,2,5,11
University of Montana Missoula,Missoula,NA,NA,NA,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,1,NA,1001-1200,Very High,648,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of San Francisco,San Francisco,CA,0.11,NA,1419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,53472,5852,National,M,4,NA,1001-1200,High,696,14,NA,NA,NA,NA,17,13,2,5,11
Rutgers University--Newark,Newark,NJ,0.07,NA,1246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,32409,9118,National,M,1,NA,801-1000,High,764,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
College of William and Mary,Williamsburg,VA,0.05,NA,729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,46467,6236,National,M,1,NA,651-700,Very High,814,10,1,NA,NA,NA,16,14,1,4,23
University at Albany SUNY,Albany,NA,NA,NA,1216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,1,NA,751-800,Very High,821,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Maryland - Baltimore,Baltimore,MD,NA,285,1074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,1,NA,751-800,High,834,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dartmouth College,Hanover,NH,0.12,NA,997,NA,201-300,201,70-95,13.4,16.6,17.6,0,26.7,22.2,13,60870,4170,National,M,4,45.1,191,Very High,836,8,1,NA,NA,NA,15,14,2,5,33
University of Massachusetts Boston,Boston,MA,0.06,NA,1527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,35139,12871,National,L,1,NA,651-700,Very High,838,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of Missouri, Kansas City",Kansas City,NA,NA,NA,817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,1,NA,801-1000,Very High,841,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
Binghamton University SUNY,Binghamton,NA,NA,NA,1833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,1,NA,801-1000,Very High,849,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of New Hampshire,Durham,NA,NA,NA,768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,37202,11747,NA,L,1,NA,801-1000,Very High,862,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Wyoming,Laramie,WY,NA,NA,564,NA,401-500,401,118-139,11.3,9.6,0,0,24.1,17.9,201,20647,9342,NA,M,1,NA,801-1000,Very High,904,12,NA,NA,NA,NA,16,16,1,4,33
University of Rhode Island,Kingston,RI,NA,NA,417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,33354,14073,NA,L,1,NA,1001-1200,High,910,17,NA,NA,NA,NA,16,16,1,4,21
Marquette University,Milwaukee,WI,NA,NA,367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,45766,8024,NA,M,4,NA,1001-1200,Very High,913,12,3,NA,NA,NA,16,17,2,5,11
University of Texas El Paso,El Paso,NA,NA,NA,1351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,1,NA,1001-1200,Very High,922,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of South Alabama (USA),Mobile,NA,NA,NA,287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,1,NA,1001-1200,High,939,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
California Institute of Technology,Pasadena,CA,0.08,NA,692,57.4,9,9,7,57.6,34.5,53.5,67.5,45,100,9,58680,901,National,S,4,97.4,6,Very High,968,2,1,NA,NA,NA,15,11,2,6,12
Southern Methodist University,Dallas,TX,NA,NA,1213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,4,NA,801-1000,Very High,969,10,3,NA,NA,NA,16,17,2,5,21
Rice University,Houston,TX,0.12,NA,2278,27.9,70,70,34,19.7,35.8,16.1,21.4,32.4,38.6,18,52895,4076,National,M,4,62.3,94,Very High,996,7,1,NA,NA,NA,15,14,2,5,11
Princeton University,Princeton,NJ,0.12,NA,1912,61,6,6,5,47.1,44.9,55.8,97.9,44.2,73.3,1,56010,4773,National,M,4,88.6,20,Very High,1050,8,1,NA,NA,NA,15,14,2,5,13
Utah State University,Logan,UT,NA,NA,331,NA,401-500,401,118-139,8.4,9.6,13.4,0,26.4,16.8,260,23434,24647,NA,L,1,NA,1001-1200,Very High,1053,19,NA,1,4-year,27691,15,15,1,3,13
Miami University,Oxford,OH,NA,NA,2260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,1,NA,1001-1200,High,1062,17,4,NA,NA,NA,NA,NA,NA,NA,NA
Portland State University,Portland,OR,NA,NA,1230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,23769,18959,NA,L,1,NA,1001-1200,Very High,1091,17,NA,NA,NA,NA,16,15,1,4,11
Mississippi State University,Starkville,MS,NA,NA,730,NA,401-500,401,118-139,5.1,13.5,0,0,25,15.9,198,24900,18803,NA,L,1,NA,1001-1200,Very High,1103,18,NA,NA,NA,NA,15,16,1,4,33
Rochester Institute of Technology,Rochester,NY,0.05,NA,1586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,52756,13412,National,L,4,NA,1001-1200,High,1136,12,4,NA,NA,NA,16,17,2,4,21
Florida Atlantic University - Boca Raton,Boca Raton,NA,NA,NA,998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,1,NA,1001-1200,High,1139,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Michigan University,Kalamazoo,MI,0.06,NA,1664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276,17591,16554,National,L,1,NA,1001-1200,High,1144,16,NA,NA,NA,NA,16,16,1,4,13
Northern Arizona University,Flagstaff,AZ,NA,NA,1162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293,26642,25230,NA,L,1,NA,1001-1200,High,1158,22,NA,1,4-year,29566,16,16,1,4,13
Ohio University,Athens,NA,NA,NA,977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181,22810,18913,NA,L,1,NA,1001-1200,High,1169,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Texas at San Antonio,San Antonio,NA,NA,NA,775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375,25920,29959,NA,L,1,NA,801-1000,Very High,1182,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kent State University,Kent,NA,NA,NA,1465,NA,401-500,401,118-139,9.3,13.5,0,0,24,15.6,216,20800,21621,NA,L,1,NA,1001-1200,Very High,1252,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Diego State University,San Diego,CA,0.05,NA,2092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,20016,31086,National,XL,1,NA,1001-1200,Very High,1262,25,NA,1,4-year,36334,16,15,1,4,11
Georgia Institute of Technology,Atlanta,GA,0.11,5657,5675,27.5,79,79,38,24.6,38.3,12.4,0,46.6,38,38,33794,16561,National,L,1,63.5,88,Very High,1267,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baylor University,Waco,TX,NA,NA,777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,50232,14399,NA,L,4,NA,1001-1200,Very High,1294,13,3,NA,NA,NA,15,16,2,4,12
University of North Carolina at Charlotte,Charlotte,NC,NA,NA,1661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,1,NA,1001-1200,Very High,1303,19,NA,1,4-year,30146,16,16,1,4,11
University of Wisconsin Milwaukee,Milwaukee,NA,NA,NA,1067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,1,NA,801-1000,Very High,1336,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Arkansas Fayetteville,Fayetteville,NA,NA,NA,1134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,1,NA,1001-1200,Very High,1364,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown University,Providence,RI,0.11,NA,2002,NA,101-150,101,47-58,20.5,9.6,14.4,19.7,46.1,33,14,62404,6792,National,M,4,71.3,60,Very High,1389,7,1,NA,NA,NA,15,14,2,5,12
